,material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap,A_ions,B_ions,C_ions,Tolerance_factor,Octahedral_factor
11171,mp-676074,Na2ThF6,18,Monoclinic,-3.804615437,253.3850666,5.137987306,6.6521,Na,Th,F,0.8472821342852023,0.706766917293233
11172,mp-18075,Na2TiF6,27,Trigonal,-3.450849825,350.008748,2.958109388,4.6664,Na,Ti,F,0.9939692221330277,0.45488721804511273
11173,mp-556024,Na2TiF6,27,Trigonal,-3.493224183,363.4857621,2.84843114,4.1813,Na,Ti,F,0.9939692221330277,0.45488721804511273
11174,mp-568694,Na2UBr6,27,Trigonal,-1.797899148,886.797706,4.288608541,0.0866,Na,U,Br,0.8311606024473452,0.45408163265306123
11175,mp-570955,Na2UCl6,27,Trigonal,-2.162771523,796.6315976,3.10620496,0.0,Na,U,Cl,0.8380524814062785,0.4917127071823204
11176,mp-14192,Na2UF6,9,Trigonal,-3.550868842,112.2917834,5.885494455,0.2405,Na,U,F,0.8663650652375715,0.6691729323308271
11177,mp-555679,Na2UF6,9,Orthorhombic,-3.617886062,122.8118226,5.381344031,0.0,Na,U,F,0.8663650652375715,0.6691729323308271
11178,mp-558572,Na2UF6,18,Trigonal,-3.628536403,226.8783643,5.825964679,0.0,Na,U,F,0.8663650652375715,0.6691729323308271
11179,mp-676341,Na2UF6,18,Monoclinic,-3.610556092,245.0292649,5.394397838,0.201,Na,U,F,0.8663650652375715,0.6691729323308271
11180,mp-1221281,Na2UI6,9,Trigonal,-1.276427648,397.4129563,4.368217185,0.2271,Na,U,I,0.8215253541940793,0.40454545454545454
11181,mp-1221298,Na2UI6,9,Orthorhombic,-1.265702796,506.5377107,3.427160641,0.1128,Na,U,I,0.8215253541940793,0.40454545454545454
11182,mp-23546,Na2UI6,9,Trigonal,-1.302314335,384.5564339,4.514255782,0.3792,Na,U,I,0.8215253541940793,0.40454545454545454
11183,mp-675122,Na2UI6,18,Cubic,-1.2118808,970.966307,3.575790617,0.0,Na,U,I,0.8215253541940793,0.40454545454545454
11184,mp-676637,Na2UI6,36,Triclinic,-1.223537582,1720.253614,4.036581794,0.0903,Na,U,I,0.8215253541940793,0.40454545454545454
11185,mp-677056,Na2UI6,27,Triclinic,-1.27851483,1226.494831,4.246213017,0.0,Na,U,I,0.8215253541940793,0.40454545454545454
