Long_form,A_ions,B_ions,C_ions,A_ion_coefficient,B_ion_coefficient,C_ion_coefficient
Cs0.05FA0.79MA0.16PbBr0.54I2.46,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.54; 2.46
MAPbBr0.6Cl2.4,MA,Pb,Br; Cl,1,1,0.6; 2.4
MAPbBr1.16I1.74,MA,Pb,Br; I,1,1,1.16; 1.74
MAPbBr0.4I2.6,MA,Pb,Br; I,1,1,0.4; 2.6
Cs0.125FA0.875PbBr0.375I2.625,Cs; FA,Pb,Br; I,0.125; 0.875,1,0.375; 2.625
Cs0.05FA0.80MA0.15PbBr0.33I2.67,Cs; FA; MA,Pb,Br; I,0.05; 0.80; 0.15,1,0.33; 2.67
(BzDA)Cs0.45FA7.2MA1.35Pb10Br2.17I28.83,(BzDA); Cs; FA; MA,Pb,Br; I,1; 0.45; 7.2; 1.35,10,2.17; 28.83
(DAP)PbI4,(DAP),Pb,I,1,1,4
Cs0.05FA0.79MA0.16PbI3,Cs; FA; MA,Pb,I,0.05; 0.79; 0.16,1,3
Cs0.05FA0.7885MA0.1615PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.05; 0.7885; 0.1615,1,0.51; 2.49
Cs0.05FA0.7885MA0.1615PbI3,Cs; FA; MA,Pb,I,0.05; 0.7885; 0.1615,1,3
MAPb0.85Sn0.15I3,MA,Pb; Sn,I,1,0.85; 0.15,3
MAPb0.65Sn0.35I3,MA,Pb; Sn,I,1,0.65; 0.35,3
Cs0.04FA0.82MA0.14PbBr0.42I2.58,Cs; FA; MA,Pb,Br; I,0.04; 0.82; 0.14,1,0.42; 2.58
Cs0.1FA0.75MA0.15PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.15,1,0.45; 2.55
Cs0.05FA0.8MA0.15PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.8; 0.15,1,0.5; 2.5
FA0.75MA0.75PbI3,FA; MA,Pb,I,0.75; 0.75,1,3
FA0.57MA0.43PbI3,FA; MA,Pb,I,0.57; 0.43,1,3
Cs0.05FA0.81MA0.14PbBr0.45,Cs; FA; MA,Pb,Br,0.05; 0.81; 0.14,1,0.45
(PEA)2MA3Pb4I13,(PEA); MA,Pb,I,2; 3,4,13
(PEA)1.8BA0.2MA3Pb4I13,(PEA); BA; MA,Pb,I,1.8; 0.2; 3,4,13
(PEA)1.4BA0.6MA3Pb4I13,(PEA); BA; MA,Pb,I,1.4; 0.6; 3,4,13
MAPbBr2.97I0.03,MA,Pb,Br; I,1,1,2.97; 0.03
MAPbBr2.91I0.09,MA,Pb,Br; I,1,1,2.91; 0.09
Cs0.05FA0.6MA0.35PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,0.05; 0.6; 0.35,1,0.3; 2.7
Cs0.06FA0.79MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.06; 0.79; 0.15,1,0.51; 2.49
Cs0.05FA0.83MA0.17PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.05; 0.83; 0.17,1,0.51; 2.49
GUMA4Pb4I13,GU; MA,Pb,I,1; 4,4,13
Cs0.05FA0.85MA0.15PbBr0.45I2.70,Cs; FA; MA,Pb,Br; I,0.05; 0.85; 0.15,1,0.45; 2.70
Cs0.17FA0.83PbBr0.4I2.6,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.4; 2.6
MAPb(BF4)2.95I0.05,MA,Pb,(BF4); I,1,1,2.95; 0.05
MAPb(BF4)2.90I0.1,MA,Pb,(BF4); I,1,1,2.90; 0.1
MAPb(BF4)2.85I0.15,MA,Pb,(BF4); I,1,1,2.85; 0.15
MAPb(BF4)2.80I0.2,MA,Pb,(BF4); I,1,1,2.80; 0.2
CsPbBr0.6I2.4,Cs,Pb,Br; I,1,1,0.6; 2.4
Cs0.01FA0.76MA0.14PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.01; 0.76; 0.14,1,0.45; 2.55
FA0.83MA0.17PbBr0.17I0.83,FA; MA,Pb,Br; I,0.83; 0.17,1,0.17; 0.83
BA2CsPb2I7,BA; Cs,Pb,I,2; 1,2,7
EA0.92FA0.08SnI3,EA; FA,Sn,I,0.92; 0.08,1,3
Cs0.08MA0.92PbBr0.24I2.76,Cs; MA,Pb,Br; I,0.08; 0.92,1,0.24; 2.76
Cs0.1MA0.90PbBr0.3I2.70,Cs; MA,Pb,Br; I,0.1; 0.90,1,0.3; 2.70
Cs0.12MA0.88PbBr0.36I2.64,Cs; MA,Pb,Br; I,0.12; 0.88,1,0.36; 2.64
FA0.87MA0.13PbBr0.13I2.83,FA; MA,Pb,Br; I,0.87; 0.13,1,0.13; 2.83
HA2MAPb2I7,HA; MA,Pb,I,2; 1,2,7
FAHA2Pb2I7,FA; HA,Pb,I,1; 2,2,7
CsHA2Pb2I7,Cs; HA,Pb,I,1; 2,2,7
MAPbBr1.6I1.4,MA,Pb,Br; I,1,1,1.6; 1.4
Cs0.05FA0.81MA0.14PbBr0.43I2.57,Cs; FA; MA,Pb,Br; I,0.05; 0.81; 0.14,1,0.43; 2.57
CsPb0.75Sn0.25Br2I,Cs,Pb; Sn,Br; I,1,0.75; 0.25,2; 1
CsPb0.5Sn0.5Br2I,Cs,Pb; Sn,Br; I,1,0.5; 0.5,2; 1
CsPb0.25Sn0.75Br2I,Cs,Pb; Sn,Br; I,1,0.25; 0.75,2; 1
FAPbBr0.3I2.7,FA,Pb,Br; I,1,1,0.3; 2.7
FA0.85MA0.15PbBr0.3I2.7,FA; MA,Pb,Br; I,0.85; 0.15,1,0.3; 2.7
Cs0.08FA0.76MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.08; 0.76; 0.16,1,0.51; 2.49
FA0.75MA0.15PbBr0.45I,FA; MA,Pb,Br; I,0.75; 0.15,1,0.45; 1
FA0.76MA0.15PbBr0.48I2.42,FA; MA,Pb,Br; I,0.76; 0.15,1,0.48; 2.42
(PEA)0.8MA0.5PbI3.2,(PEA); MA,Pb,I,0.8; 0.5,1,3.2
(PEA)2PbI4,(PEA),Pb,I,2,1,4
(f-PEA)2PbI4,(f-PEA),Pb,I,2,1,4
Cs0.07FA0.81MA0.12PbBr0.38I2.62,Cs; FA; MA,Pb,Br; I,0.07; 0.81; 0.12,1,0.38; 2.62
CsPb0.97Tb0.03Br3,Cs,Pb; Tb,Br,1,0.97; 0.03,3
GU0.14MA0.86PbI3,GU; MA,Pb,I,0.14; 0.86,1,3
(BdA)PbI4,(BdA),Pb,I,1,1,4
(HdA)PbI4,(HdA),Pb,I,1,1,4
(OdA)PbI4,(OdA),Pb,I,1,1,4
FA0.3MA0.7PbBr0.15I2.85,FA; MA,Pb,Br; I,0.3; 0.7,1,0.15; 2.85
FA0.28MA0.72PbI3,FA; MA,Pb,I,0.28; 0.72,1,3
CsBi3I10,Cs,Bi,I,1,3,10
FABi3I10,FA,Bi,I,1,3,10
Cs0.05FA0.76MA0.19PbBr0.57I2.32,Cs; FA; MA,Pb,Br; I,0.05; 0.76; 0.19,1,0.57; 2.32
Cs0.15FA0.75MA0.1PbBr0.1I2.9,Cs; FA; MA,Pb,Br; I,0.15; 0.75; 0.1,1,0.1; 2.9
Cs0.05FA0.8MA0.15PbBr0.42I2.58,Cs; FA; MA,Pb,Br; I,0.05; 0.8; 0.15,1,0.42; 2.58
Cs0.017FA0.83MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.017; 0.83; 0.15,1,0.51; 2.49
MAPb0.5Sn0.5Br0.6I2.4,MA,Pb; Sn,Br; I,1,0.5; 0.5,0.6; 2.4
Cs0.32FA0.58GA0.1PbBr0.81I2.19,Cs; FA; GA,Pb,Br; I,0.32; 0.58; 0.1,1,0.81; 2.19
(PEA)0.05MA0.95PbBr1.2I1.8,(PEA); MA,Pb,Br; I,0.05; 0.95,1,1.2; 1.8
FA0.85MA0.15PbBr0.27I2.73,FA; MA,Pb,Br; I,0.85; 0.15,1,0.27; 2.73
Cs0.05FA0.81MA0.14PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.05; 0.81; 0.14,1,0.51; 2.49
FA0.85PbBr0.08I2.92,FA,Pb,Br; I,0.85,1,0.08; 2.92
Cs0.05FA0.80MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.05; 0.80; 0.15,1,0.51; 2.49
CsPbBr0.09I2.91,Cs,Pb,Br; I,1,1,0.09; 2.91
CsPbBr0.21I2.79,Cs,Pb,Br; I,1,1,0.21; 2.79
Cs0.05FA0.81MA0.14PbBr0.57I2.43,Cs; FA; MA,Pb,Br; I,0.05; 0.81; 0.14,1,0.57; 2.43
MAPbBr0.30I2.70,MA,Pb,Br; I,1,1,0.30; 2.70
CsBi0.04Pb0.96I3,Cs,Bi; Pb,I,1,0.04; 0.96,3
FA0.83MA0.17PbBr0.50I2.50,FA; MA,Pb,Br; I,0.83; 0.17,1,0.50; 2.50
Cs0.10FA0.75MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.10; 0.75; 0.15,1,0.51; 2.49
Cs0.05FA0.46MA0.49PbBr0.12I2.88,Cs; FA; MA,Pb,Br; I,0.05; 0.46; 0.49,1,0.12; 2.88
BA2Cs0.08FA1.36MA2.56Pb5I16,BA; Cs; FA; MA,Pb,I,2; 0.08; 1.36; 2.56,5,16
BA2Cs0.08MA3.92Pb5I16,BA; Cs; MA,Pb,I,2; 0.08; 3.92,5,16
BA2FAMA2.64Pb5I16,BA; FA; MA,Pb,I,2; 1; 2.64,5,16
FA0.86MA0.15PbBr0.45I2.55,FA; MA,Pb,Br; I,0.86; 0.15,1,0.45; 2.55
Cs0.05FA0.79MA0.16PbBr0.30I2.70,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.30; 2.70
Cs0.10FA0.75MA0.15PbBr0.50I2.50,Cs; FA; MA,Pb,Br; I,0.10; 0.75; 0.15,1,0.50; 2.50
Cs0.10MA0.90Pb(SCN)0.15I2.85,Cs; MA,Pb,(SCN); I,0.10; 0.90,1,0.15; 2.85
CsPb0.1Sn0.9I3,Cs,Pb; Sn,I,1,0.1; 0.9,3
CsPb0.3Sn0.7I3,Cs,Pb; Sn,I,1,0.3; 0.7,3
(PEA)2MA59Pb60I181,(PEA); MA,Pb,I,2; 59,60,181
(PEA)2MA29Pb30I91,(PEA); MA,Pb,I,2; 29,30,91
(PEA)2MA19Pb20I61,(PEA); MA,Pb,I,2; 19,20,61
(PEA)2MA9Pb10I31,(PEA); MA,Pb,I,2; 9,10,31
(PEA)2MA5Pb6I19,(PEA); MA,Pb,I,2; 5,6,19
Cs0.15FA0.85PbBr0.15I2.85,Cs; FA,Pb,Br; I,0.15; 0.85,1,0.15; 2.85
FA0.125MA0.875PbI3,FA; MA,Pb,I,0.125; 0.875,1,3
FA0.125MA0.875PbBrI2,FA; MA,Pb,Br; I,0.125; 0.875,1,1; 2
Cs0.1FA0.77MA0.13PbBr0.4I2.6,Cs; FA; MA,Pb,Br; I,0.1; 0.77; 0.13,1,0.4; 2.6
FASnBr0.24I2.76,FA,Sn,Br; I,1,1,0.24; 2.76
FASnBr0.5I2.5,FA,Sn,Br; I,1,1,0.5; 2.5
FASnBr0.75I2.25,FA,Sn,Br; I,1,1,0.75; 2.25
FASnBrI2,FA,Sn,Br; I,1,1,1; 2
Cs0.05FA0.8MA0.15PbBr0.15I0.85,Cs; FA; MA,Pb,Br; I,0.05; 0.8; 0.15,1,0.15; 0.85
Cs0.05FA0.8MA0.15PbBr0.4I2.6,Cs; FA; MA,Pb,Br; I,0.05; 0.8; 0.15,1,0.4; 2.6
Cs0.1FA0.77MA0.13PbBr0.39I2.48,Cs; FA; MA,Pb,Br; I,0.1; 0.77; 0.13,1,0.39; 2.48
FA0.83MA0.17PbBr0.02I2.98,FA; MA,Pb,Br; I,0.83; 0.17,1,0.02; 2.98
FA0.81MA0.15PbBr0.45I2.51,FA; MA,Pb,Br; I,0.81; 0.15,1,0.45; 2.51
Cs0.05FA0.7917MA0.1583PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.7917; 0.1583,1,0.5; 2.5
Cs0.03FA0.945MA0.025PbBr0.075I2.925,Cs; FA; MA,Pb,Br; I,0.03; 0.945; 0.025,1,0.075; 2.925
Cs0.08FA0.55MA0.37PbI3,Cs; FA; MA,Pb,I,0.08; 0.55; 0.37,1,3
FA0.92MA0.08PbBr0.24I2.76,FA; MA,Pb,Br; I,0.92; 0.08,1,0.24; 2.76
Cs0.05FA0.81MA0.14PbI3,Cs; FA; MA,Pb,I,0.05; 0.81; 0.14,1,3
FA0.92MA0.08PbI3,FA; MA,Pb,I,0.92; 0.08,1,3
Cs0.05FA0.79MA0.16PbBr0.16I0.84,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.16; 0.84
GUMA3Pb3I10,GU; MA,Pb,I,1; 3,3,10
CsPbBrI,Cs,Pb,Br; I,1,1,1; 1
CsBa0.1Pb0.9I3,Cs,Ba; Pb,I,1,0.1; 0.9,3
FAPbBr0.1I2.9,FA,Pb,Br; I,1,1,0.1; 2.9
Cs0.05FA0.79MA0.16PbBr0.48I2.52,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.48; 2.52
Cs0.05FA0.79MA0.16PbBr0.50I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.50; 2.5
(5-AVA)0.03MA0.97PbI3,(5-AVA); MA,Pb,I,0.03; 0.97,1,3
BA2FA2Pb3I10,BA; FA,Pb,I,2; 2,3,10
BA2FAPb2I7,BA; FA,Pb,I,2; 1,2,7
MACo0.1Pb0.9I3,MA,Co; Pb,I,1,0.1; 0.9,3
MACo0.2Pb0.8I3,MA,Co; Pb,I,1,0.2; 0.8,3
MACo0.4Pb0.6I3,MA,Co; Pb,I,1,0.4; 0.6,3
FAPbCl0.45I2.55,FA,Pb,Cl; I,1,1,0.45; 2.55
FAPbBrI2,FA,Pb,Br; I,1,1,1; 2
FAPbCl0.5I2.5,FA,Pb,Cl; I,1,1,0.5; 2.5
FAPbBr1.25Cl0.25I1.5,FA,Pb,Br; Cl; I,1,1,1.25; 0.25; 1.5
FAPbBr1.25Cl0.35I1.45,FA,Pb,Br; Cl; I,1,1,1.25; 0.35; 1.45
(C6H4NH2)CuBr2I,(C6H4NH2),Cu,Br; I,1,1,2; 1
Cs0.1FA0.9PbBr0.1I2.9,Cs; FA,Pb,Br; I,0.1; 0.9,1,0.1; 2.9
FAPbBr0.05I2.95,FA,Pb,Br; I,1,1,0.05; 2.95
(5-AVA)0.1MA0.9PbI3,(5-AVA); MA,Pb,I,0.1; 0.9,1,3
Cs0.1FA0.27MA0.63PbI3,Cs; FA; MA,Pb,I,0.1; 0.27; 0.63,1,3
Cs0.05FA0.28MA0.67PbI3,Cs; FA; MA,Pb,I,0.05; 0.28; 0.67,1,3
Cs0.15FA0.25MA0.6PbI3,Cs; FA; MA,Pb,I,0.15; 0.25; 0.6,1,3
Cs0.2FA0.24MA0.56PbI3,Cs; FA; MA,Pb,I,0.2; 0.24; 0.56,1,3
FA0.75MA0.25Ge0.05Sn0.95I3,FA; MA,Ge; Sn,I,0.75; 0.25,0.05; 0.95,3
FA0.75MA0.25Ge0.1Sn0.9I3,FA; MA,Ge; Sn,I,0.75; 0.25,0.1; 0.9,3
FA0.75MA0.25Ge0.2Sn0.8I3,FA; MA,Ge; Sn,I,0.75; 0.25,0.2; 0.8,3
(TBA)0.5Cs0.05FA0.75MA0.15PbBr0.51I2.49,(TBA); Cs; FA; MA,Pb,Br; I,0.5; 0.05; 0.75; 0.15,1,0.51; 2.49
(TBA)0.1Cs0.05FA0.71MA0.14PbBr0.51I2.49,(TBA); Cs; FA; MA,Pb,Br; I,0.1; 0.05; 0.71; 0.14,1,0.51; 2.49
(TBA)0.15Cs0.04FA0.67MA0.14PbBr0.51I2.49,(TBA); Cs; FA; MA,Pb,Br; I,0.15; 0.04; 0.67; 0.14,1,0.51; 2.49
(TBA)0.2Cs0.04FA0.63MA0.13PbBr0.51I2.49,(TBA); Cs; FA; MA,Pb,Br; I,0.2; 0.04; 0.63; 0.13,1,0.51; 2.49
(TBA)0.3Cs0.04FA0.55MA0.11PbBr0.51I2.49,(TBA); Cs; FA; MA,Pb,Br; I,0.3; 0.04; 0.55; 0.11,1,0.51; 2.49
(TBA)0.5Cs0.03FA0.4MA0.08PbBr0.51I2.49,(TBA); Cs; FA; MA,Pb,Br; I,0.5; 0.03; 0.4; 0.08,1,0.51; 2.49
(DAT)MA2Pb3I10,(DAT); MA,Pb,I,1; 2,3,10
MASnBr0.42I2.58,MA,Sn,Br; I,1,1,0.42; 2.58
MASnBr1.5I1.5,MA,Sn,Br; I,1,1,1.5; 1.5
MASnBr2.64I0.36,MA,Sn,Br; I,1,1,2.64; 0.36
MASnBr3,MA,Sn,Br,1,1,3
Cs0.1FA0.75MA0.24PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.24,1,0.51; 2.49
FA0.3MA0.7PbBr0.3I2.7,FA; MA,Pb,Br; I,0.3; 0.7,1,0.3; 2.7
FA0.84MA0.16PbBr0.48I2.52,FA; MA,Pb,Br; I,0.84; 0.16,1,0.48; 2.52
Cs0.09FA0.83MA0.08PbBr0.15I2.85,Cs; FA; MA,Pb,Br; I,0.09; 0.83; 0.08,1,0.15; 2.85
MAPbBr0.08I2.92,MA,Pb,Br; I,1,1,0.08; 2.92
Cs0.98Li0.02PbBr3,Cs; Li,Pb,Br,0.98; 0.02,1,3
Cs0.96Li0.04PbBr3,Cs; Li,Pb,Br,0.96; 0.04,1,3
Cs0.94Li0.06PbBr3,Cs; Li,Pb,Br,0.94; 0.06,1,3
Cs0.92Li0.08PbBr3,Cs; Li,Pb,Br,0.92; 0.08,1,3
Cs0.97Na0.03PbBr3,Cs; Na,Pb,Br,0.97; 0.03,1,3
Cs0.94Na0.06PbBr3,Cs; Na,Pb,Br,0.94; 0.06,1,3
Cs0.91Na0.09PbBr3,Cs; Na,Pb,Br,0.91; 0.09,1,3
Cs0.88Na0.12PbBr3,Cs; Na,Pb,Br,0.88; 0.12,1,3
Cs0.96K0.04PbBr3,Cs; K,Pb,Br,0.96; 0.04,1,3
Cs0.92K0.08PbBr3,Cs; K,Pb,Br,0.92; 0.08,1,3
Cs0.88K0.12PbBr3,Cs; K,Pb,Br,0.88; 0.12,1,3
Cs0.84K0.16PbBr3,Cs; K,Pb,Br,0.84; 0.16,1,3
Cs0.80K0.20PbBr3,Cs; K,Pb,Br,0.80; 0.20,1,3
Cs0.97Rb0.03PbBr3,Cs; Rb,Pb,Br,0.97; 0.03,1,3
Cs0.94Rb0.06PbBr3,Cs; Rb,Pb,Br,0.94; 0.06,1,3
Cs0.88Rb0.12PbBr3,Cs; Rb,Pb,Br,0.88; 0.12,1,3
Cs0.85Rb0.15PbBr3,Cs; Rb,Pb,Br,0.85; 0.15,1,3
FA0.83MA0.17PbBr1.2I1.8,FA; MA,Pb,Br; I,0.83; 0.17,1,1.2; 1.8
(Anyl)2PbI3,(Anyl),Pb,I,2,1,3
(Anyl)2MAPb2I6,(Anyl); MA,Pb,I,2; 1,2,6
(Anyl)2MA2Pb3I9,(Anyl); MA,Pb,I,2; 2,3,9
(Anyl)2MA3Pb4I12,(Anyl); MA,Pb,I,2; 3,4,12
(Anyl)2MA34Pb5I15,(Anyl); MA,Pb,I,2; 34,5,15
BA2PbI3,BA,Pb,I,2,1,3
BA2MAPb2I6,BA; MA,Pb,I,2; 1,2,6
BA2MA2Pb3I9,BA; MA,Pb,I,2; 2,3,9
BA2MA3Pb4I12,BA; MA,Pb,I,2; 3,4,12
BA2MA34Pb5I15,BA; MA,Pb,I,2; 34,5,15
Cs0.17FA0.83PbBr0.45I2.55,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.45; 2.55
Cs0.15FA0.85PbBr0.81I2.19,Cs; FA,Pb,Br; I,0.15; 0.85,1,0.81; 2.19
Cs0.06FA0.78MA0.16PbBr0.54I2.46,Cs; FA; MA,Pb,Br; I,0.06; 0.78; 0.16,1,0.54; 2.46
Cs0.05FA0.80MA0.15PbI2.55,Cs; FA; MA,Pb,I,0.05; 0.80; 0.15,1,2.55
(PEA)2MA8Pb9Br11.2I16.8,(PEA); MA,Pb,Br; I,2; 8,9,11.2; 16.8
CsPbBr2.9I0.1,Cs,Pb,Br; I,1,1,2.9; 0.1
CsPbBr2.8I0.2,Cs,Pb,Br; I,1,1,2.8; 0.2
CsPbBr2.7I0.3,Cs,Pb,Br; I,1,1,2.7; 0.3
FA0.4MA0.6PbI4,FA; MA,Pb,I,0.4; 0.6,1,4
FA0.5MA0.5PbI4,FA; MA,Pb,I,0.5; 0.5,1,4
FA0.85MA0.15PbI5,FA; MA,Pb,I,0.85; 0.15,1,5
FA0.46MA0.64PbBr0.24I0.76,FA; MA,Pb,Br; I,0.46; 0.64,1,0.24; 0.76
Cs0.05MA0.79PbBr0.3I2.7,Cs; MA,Pb,Br; I,0.05; 0.79,1,0.3; 2.7
Cs0.02MA0.98PbI3,Cs; MA,Pb,I,0.02; 0.98,1,3
Cs0.04MA0.96PbI3,Cs; MA,Pb,I,0.04; 0.96,1,3
Cs0.06MA0.94PbI3,Cs; MA,Pb,I,0.06; 0.94,1,3
Cs0.08MA0.92PbI3,Cs; MA,Pb,I,0.08; 0.92,1,3
FA0.95MA0.05PbBr0.1I2.9,FA; MA,Pb,Br; I,0.95; 0.05,1,0.1; 2.9
Cs0.05FA0.92MA0.3PbBr0.09I2.91,Cs; FA; MA,Pb,Br; I,0.05; 0.92; 0.3,1,0.09; 2.91
CsPb0.97Sm0.03Br3,Cs,Pb; Sm,Br,1,0.97; 0.03,3
Cs0.05MA0.95PbBr0.3I2.7,Cs; MA,Pb,Br; I,0.05; 0.95,1,0.3; 2.7
Cs0.05MA0.95PbBr0.6I2.4,Cs; MA,Pb,Br; I,0.05; 0.95,1,0.6; 2.4
Cs0.05MA0.95PbBr0.9I2.1,Cs; MA,Pb,Br; I,0.05; 0.95,1,0.9; 2.1
Cs0.05MA0.95PbBr1.2I1.8,Cs; MA,Pb,Br; I,0.05; 0.95,1,1.2; 1.8
Cs0.05MA0.95PbBr1.5I1.5,Cs; MA,Pb,Br; I,0.05; 0.95,1,1.5; 1.5
FAPb0.6Sn0.4I3,FA,Pb; Sn,I,1,0.6; 0.4,3
FA0.9MA0.1PbBr0.03I2.91,FA; MA,Pb,Br; I,0.9; 0.1,1,0.03; 2.91
Cs0.09FA0.77MA0.14PbBr0.42I2.58,Cs; FA; MA,Pb,Br; I,0.09; 0.77; 0.14,1,0.42; 2.58
FA0.85MA0.15PbBr0.51I2.49,FA; MA,Pb,Br; I,0.85; 0.15,1,0.51; 2.49
FA0.8MA0.15PbBr0.45I2.55,FA; MA,Pb,Br; I,0.8; 0.15,1,0.45; 2.55
Cs0.05FA0.88MA0.07PbBr0.24I2.76,Cs; FA; MA,Pb,Br; I,0.05; 0.88; 0.07,1,0.24; 2.76
Cs0.05FA0.85MA0.10PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.05; 0.85; 0.10,1,0.45; 2.55
Cs0.05FA0.79MA0.12PbBr0.39I2.61,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.12,1,0.39; 2.61
Cs0.05FA0.75MA0.11PbBr0.39I2.61,Cs; FA; MA,Pb,Br; I,0.05; 0.75; 0.11,1,0.39; 2.61
Cs0.15FA0.71MA0.1PbBr0.39I2.61,Cs; FA; MA,Pb,Br; I,0.15; 0.71; 0.1,1,0.39; 2.61
FA0.83MA0.17PbBr0.46I2.54,FA; MA,Pb,Br; I,0.83; 0.17,1,0.46; 2.54
FA0.83MA0.17PbBr1.5I1.5,FA; MA,Pb,Br; I,0.83; 0.17,1,1.5; 1.5
Cs0.05FA0.79MA0.16PbBr1.5I1.5,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,1.5; 1.5
MAPbBr0.18I2.82,MA,Pb,Br; I,1,1,0.18; 2.82
MAPbBr0.39I2.61,MA,Pb,Br; I,1,1,0.39; 2.61
MAPbBr0.87I2.13,MA,Pb,Br; I,1,1,0.87; 2.13
MAPbBr1.14I1.86,MA,Pb,Br; I,1,1,1.14; 1.86
MAPbBr1.41I1.59,MA,Pb,Br; I,1,1,1.41; 1.59
MAPbBr1.74I1.26,MA,Pb,Br; I,1,1,1.74; 1.26
MAPbBr2.13I0.87,MA,Pb,Br; I,1,1,2.13; 0.87
MAPbBr2.52I0.48,MA,Pb,Br; I,1,1,2.52; 0.48
Cs0.13FA0.72MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.13; 0.72; 0.16,1,0.51; 2.49
FA0.75MA0.25PbBr0.51I2.49,FA; MA,Pb,Br; I,0.75; 0.25,1,0.51; 2.49
Cs0.5FA0.75MA0.1PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.5; 0.75; 0.1,1,0.51; 2.49
Cs0.2FA0.75MA0.05PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.2; 0.75; 0.05,1,0.51; 2.49
Cs0.25FA0.75PbBr0.51I2.49,Cs; FA,Pb,Br; I,0.25; 0.75,1,0.51; 2.49
Cs0.05FA0.83MA0.12PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.05; 0.83; 0.12,1,0.51; 2.49
Cs0.10FA0.83MA0.07PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.10; 0.83; 0.07,1,0.51; 2.49
Cs0.14FA0.83MA0.03PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.14; 0.83; 0.03,1,0.51; 2.49
FAPbBr0.6I2.4,FA,Pb,Br; I,1,1,0.6; 2.4
FAPbBr,FA,Pb,Br,1,1,1
FAPb0.875Sn0.125I3,FA,Pb; Sn,I,1,0.875; 0.125,3
FAPb0.625Sn0.375I3,FA,Pb; Sn,I,1,0.625; 0.375,3
FAPb0.5Sn0.5I,FA,Pb; Sn,I,1,0.5; 0.5,1
FAPb0.375Sn0.625I3,FA,Pb; Sn,I,1,0.375; 0.625,3
FAPb0.125Sn0.875I3,FA,Pb; Sn,I,1,0.125; 0.875,3
MAPb0.8Sn0.2I3,MA,Pb; Sn,I,1,0.8; 0.2,3
MAPb0.6Sn0.4I3,MA,Pb; Sn,I,1,0.6; 0.4,3
MAPb0.4Sn0.6I3,MA,Pb; Sn,I,1,0.4; 0.6,3
MAPb0.2Sn0.8I3,MA,Pb; Sn,I,1,0.2; 0.8,3
MAPb0.75Sn0.25Br1.2I1.8,MA,Pb; Sn,Br; I,1,0.75; 0.25,1.2; 1.8
MAPb0.50Sn0.50Br1.2I1.8,MA,Pb; Sn,Br; I,1,0.50; 0.50,1.2; 1.8
MAPb0.25Sn0.75Br1.2I1.8,MA,Pb; Sn,Br; I,1,0.25; 0.75,1.2; 1.8
MASnBr1.2I1.8,MA,Sn,Br; I,1,1,1.2; 1.8
MAPb0.75Sn0.25Br0.3I2.7,MA,Pb; Sn,Br; I,1,0.75; 0.25,0.3; 2.7
MAPb0.75Sn0.25Br0.6I2.4,MA,Pb; Sn,Br; I,1,0.75; 0.25,0.6; 2.4
MAPb0.75Sn0.25Br0.9I2.1,MA,Pb; Sn,Br; I,1,0.75; 0.25,0.9; 2.1
MAPb0.75Sn0.25Br1.5I1.5,MA,Pb; Sn,Br; I,1,0.75; 0.25,1.5; 1.5
MAPb0.75Sn0.25Br1.8I1.2,MA,Pb; Sn,Br; I,1,0.75; 0.25,1.8; 1.2
MAPb0.75Sn0.25Br2.1I0.9,MA,Pb; Sn,Br; I,1,0.75; 0.25,2.1; 0.9
