Long_form,A_ions,B_ions,C_ions,A_ion_coefficient,B_ion_coefficient,C_ion_coefficient
MAPbBr1.5I1.5,MA,Pb,Br; I,1,1,1.5; 1.5
Cs0.05FA0.79MA0.16PbBr0.51I2.51,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.51; 2.51
Cs0.19FA0.81PbBr0.54I2.46,Cs; FA,Pb,Br; I,0.19; 0.81,1,0.54; 2.46
MAPbBr0.1I2.9,MA,Pb,Br; I,1,1,0.1; 2.9
MAPbBr0.2I2.8,MA,Pb,Br; I,1,1,0.2; 2.8
MAPbBr0.25I2.75,MA,Pb,Br; I,1,1,0.25; 2.75
MAPbBr0.7I2.3,MA,Pb,Br; I,1,1,0.7; 2.3
Cs0.05FA0.79MA0.16Pb0.54I2.46,Cs; FA; MA,Pb,I,0.05; 0.79; 0.16,0.54,2.46
FA0.75MA0.25PbBr0.24I2.76,FA; MA,Pb,Br; I,0.75; 0.25,1,0.24; 2.76
Cs0.17FA0.83PbBr0.3I2.7,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.3; 2.7
BAPbI4,BA,Pb,I,1; 1,1,4
BAMA2Pb2I7,BA; MA,Pb,I,1; 1; 2,2,7
Cs0.05FA0.28MA0.67PbBr0.54I2.46,Cs; FA; MA,Pb,Br; I,0.05; 0.28; 0.67,1,0.54; 2.46
FA0.3MA0.7PbBr0.54I2.46,FA; MA,Pb,Br; I,0.3; 0.7,1,0.54; 2.46
Cs0.25FA0.75Pb0.5Sn0.5I3,Cs; FA,Pb; Sn,I,0.25; 0.75,0.5; 0.5,3
Cs0.05FA0.8MA0.15PbBr0.15I2.85,Cs; FA; MA,Pb,Br; I,0.05; 0.8; 0.15,1,0.15; 2.85
Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.05; 0.8075; 0.1425,1,0.45; 2.55
FA0.95MA0.05PbBr0.15I2.85,FA; MA,Pb,Br; I,0.95; 0.05,1,0.15; 2.85
(PEA)2MA2Pb3I10,(PEA); MA,Pb,I,2; 2,3,10
Cs0.1FA0.747MA0.153PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.1; 0.747; 0.153,1,0.51; 2.49
Cs0.15MA0.85PbI3,Cs; MA,Pb,I,0.15; 0.85,1,3
Cs0.15MA0.85PbBr0.45I2.55,Cs; MA,Pb,Br; I,0.15; 0.85,1,0.45; 2.55
MAPbBr0.075I2.95,MA,Pb,Br; I,1,1,0.075; 2.95
MAPbBr0.225I2.775,MA,Pb,Br; I,1,1,0.225; 2.775
FA0.5MA0.5PbBr0.45I2.55,FA; MA,Pb,Br; I,0.5; 0.5,1,0.45; 2.55
Cs0.13FA0.87PbBrI2,Cs; FA,Pb,Br; I,0.13; 0.87,1,1; 2
EA2PbI4,EA,Pb,I,2,1,4
EA2MA2Pb3I10,EA; MA,Pb,I,2; 2,3,10
EA2MA4Pb5I16,EA; MA,Pb,I,2; 4,5,16
EA2MA6Pb7I22,EA; MA,Pb,I,2; 6,7,22
EA2MA8Pb9I28,EA; MA,Pb,I,2; 8,9,28
EA2MA10Pb11I34,EA; MA,Pb,I,2; 10,11,34
PA2PbI4,PA,Pb,I,2,1,4
MA2PA4Pb3I10,MA; PA,Pb,I,2; 4,3,10
MA2PA4Pb5I16,MA; PA,Pb,I,2; 4,5,16
MA2PA6Pb7I22,MA; PA,Pb,I,2; 6,7,22
MA2PA8Pb9I28,MA; PA,Pb,I,2; 8,9,28
MA2PA10Pb11I34,MA; PA,Pb,I,2; 10,11,34
BA2PbI4,BA,Pb,I,2,1,4
BA2MA2Pb3I10,BA; MA,Pb,I,2; 2,3,10
BA2MA4Pb5I16,BA; MA,Pb,I,2; 4,5,16
BA2MA6Pb7I22,BA; MA,Pb,I,2; 6,7,22
BA2MA8Pb9I28,BA; MA,Pb,I,2; 8,9,28
BA2MA10Pb11I34,BA; MA,Pb,I,2; 10,11,34
FA0.75MA0.25PbBr0.75I2.25,FA; MA,Pb,Br; I,0.75; 0.25,1,0.75; 2.25
Cs0.05FA0.83MA0.12PbBr0.39I2.61,Cs; FA; MA,Pb,Br; I,0.05; 0.83; 0.12,1,0.39; 2.61
CsPbBr0.15I2.85,Cs,Pb,Br; I,1,1,0.15; 2.85
MAPbBr0.075I2.925,MA,Pb,Br; I,1,1,0.075; 2.925
FA0.83MA0.17PbBr0.6I2.4,FA; MA,Pb,Br; I,0.83; 0.17,1,0.6; 2.4
Cs0.2FA0.8PbI3,Cs; FA,Pb,I,0.2; 0.8,1,3
FA0.4MA0.6PbBr0.2I2.8,FA; MA,Pb,Br; I,0.4; 0.6,1,0.2; 2.8
CsBi0.06Pb0.94I3,Cs,Bi; Pb,I,1,0.06; 0.94,3
Cs0.003Pb0.997Br3,Cs,Pb,Br,0.003,0.997,3
Cs0.005Pb0.995Br3,Cs,Pb,Br,0.005,0.995,3
Cs0.01Pb0.99Br3,Cs,Pb,Br,0.01,0.99,3
Cs0.03Pb0.97Br3,Cs,Pb,Br,0.03,0.97,3
CsNi0.003Pb0.997Br3,Cs,Ni; Pb,Br,1,0.003; 0.997,3
CsNi0.005Pb0.995Br3,Cs,Ni; Pb,Br,1,0.005; 0.995,3
CsNi0.01Pb0.99Br3,Cs,Ni; Pb,Br,1,0.01; 0.99,3
CsNi0.03Pb0.97Br3,Cs,Ni; Pb,Br,1,0.03; 0.97,3
CsCu0.003Pb0.997Br3,Cs,Cu; Pb,Br,1,0.003; 0.997,3
CsCu0.005Pb0.995Br3,Cs,Cu; Pb,Br,1,0.005; 0.995,3
CsCu0.01Pb0.99Br3,Cs,Cu; Pb,Br,1,0.01; 0.99,3
CsCu0.03Pb0.97Br3,Cs,Cu; Pb,Br,1,0.03; 0.97,3
CsPb0.997Zn0.003Br3,Cs,Pb; Zn,Br,1,0.997; 0.003,3
CsPb0.995Zn0.005Br3,Cs,Pb; Zn,Br,1,0.995; 0.005,3
CsPb0.99Zn0.01Br3,Cs,Pb; Zn,Br,1,0.99; 0.01,3
CsPb0.97Zn0.03Br3,Cs,Pb; Zn,Br,1,0.97; 0.03,3
