material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap
mp-1111951,Cs2NaNiF6,10,Cubic,-2.573864586,169.2314436,4.528195304,0
mp-989556,Cs2NaPbF6,10,Cubic,-2.769691429,201.8863549,5.017248638,0
mp-1112146,Cs2NaPrBr6,10,Cubic,-2.14825008,401.2461249,3.762403287,4.1252
mp-1111820,Cs2NaPrCl6,10,Cubic,-2.469188892,343.9477157,3.101558632,4.9676
mp-1110980,Cs2NaPrF6,10,Cubic,-3.51140933,206.9541158,4.362479085,6.6211
mp-1112144,Cs2NaPrI6,10,Cubic,-1.681292552,498.3057991,3.969302469,3.1147
mp-1111979,Cs2NaRhF6,10,Cubic,-2.620182286,175.8761971,4.774545739,1.9082
mp-1112013,Cs2NaRuF6,10,Cubic,-2.609729962,176.560866,4.73876826,0
mp-1112142,Cs2NaSbBr6,10,Cubic,-1.638596316,385.5413968,3.833192312,2.556
mp-989514,Cs2NaSbCl6,10,Cubic,-1.913533248,329.1086798,3.144792737,2.8096
mp-1110979,Cs2NaSbF6,10,Cubic,-2.88576819,198.7678111,4.382186313,4.2317
mp-1112140,Cs2NaSbI6,10,Cubic,-1.237659143,477.1340458,4.078793025,1.8895
mp-1112534,Cs2NaScBr6,10,Cubic,-2.090647528,358.3364996,3.768296367,3.1061
mp-1111433,Cs2NaScCl6,10,Cubic,-2.430181971,303.2602596,2.992289192,3.8894
mp-6204,Cs2NaScF6,10,Cubic,-3.560766909,181.8187726,4.089244373,6.8066
mp-1112141,Cs2NaScI6,10,Cubic,-1.608572186,434.8208395,4.182400345,2.2294
mp-580541,Cs2NaSmCl6,10,Cubic,-2.484568082,319.9699829,3.383036101,5.1745
mp-1205868,Cs2NaSmF6,10,Cubic,-3.549816546,200.5312577,4.580477921,6.9248
mp-989574,Cs2NaSrF6,10,Cubic,-3.013346729,210.2178814,3.873822589,0
mp-1111728,Cs2NaTaBr6,10,Cubic,-1.61739139,351.5691023,4.483153084,0
mp-1111428,Cs2NaTaCl6,10,Cubic,-1.946303392,299.1956521,3.787696663,0
mp-1114087,Cs2NaTaF6,10,Orthorhombic,-2.953787458,185.6034453,5.222539735,0
mp-1112399,Cs2NaTaI6,10,Cubic,-1.167946802,437.85545,4.669154637,0
mp-568670,Cs2NaTbCl6,10,Cubic,-2.496447221,326.9393108,3.354424095,5.2046
mp-1206873,Cs2NaTbF6,10,Cubic,-3.583483058,183.0696473,5.095066881,6.8618
mp-15634,Cs2NaTiF6,20,Trigonal,-3.293344879,369.6084526,4.049341202,0
mp-562050,Cs2NaTiF6,30,Trigonal,-3.293792026,544.0820605,4.126227028,0
mp-1111449,Cs2SmCuCl6,10,Cubic,-2.026102832,289.5712644,3.970750382,2.57
mp-1112334,Cs2TaAgBr6,10,Cubic,-1.356169583,341.3161291,5.0307674,0
mp-1113222,Cs2TaAgCl6,10,Cubic,-1.658239101,294.8412349,4.321669334,0
mp-1114070,Cs2TaAgF6,10,Cubic,-2.87288878,290.7929785,3.818060958,0.2824
mp-1112935,Cs2TaAgI6,10,Cubic,-0.943102259,415.767686,5.256201548,0
mp-1113212,Cs2TaAuF6,10,Cubic,-2.931536521,284.6302757,4.420529889,1.1619
mp-1112910,Cs2TaCuBr6,10,Cubic,-1.293198005,315.2579147,5.213138938,0
mp-1113336,Cs2TaCuCl6,10,Cubic,-1.59820045,269.7930752,4.450105243,0
mp-1111310,Cs2TaCuF6,10,Cubic,-2.786545788,275.9251698,3.757056939,0.4108
mp-1112879,Cs2TaCuI6,10,Cubic,-0.875837289,387.7588894,5.446064728,0
mp-1112610,Cs2TaHgF6,10,Cubic,-2.864282694,255.2929201,4.952089894,0
mp-1112483,Cs2TaTlF6,10,Cubic,-2.674347982,212.0200953,5.992509393,0
mp-1112921,Cs2TbAuCl6,10,Cubic,-2.074623369,311.1869615,4.452591353,2.181
mp-1113207,Cs2TbCuCl6,10,Cubic,-2.03379767,294.2748168,3.955616453,2.5342
mp-1113444,Cs2TlAgBr6,10,Cubic,-1.351672621,346.3982949,5.069301759,0
mp-1113442,Cs2TlAgCl6,10,Cubic,-1.578758494,298.1442883,4.404316317,0
mp-1113150,Cs2TlAgF6,10,Cubic,-2.36200125,204.3449796,5.62372881,0.8053
mp-1112933,Cs2TlAgI6,10,Cubic,-1.010044748,447.711498,4.968097079,0
mp-1112112,Cs2TlAsBr6,10,Cubic,-1.421802531,395.9075344,4.29718614,1.2314
mp-1112502,Cs2TlAsCl6,10,Cubic,-1.667370324,346.3457412,3.633400061,2.0627
mp-1112503,Cs2TlAsF6,10,Cubic,-2.585479973,219.8645052,4.977936894,2.9734
mp-1112544,Cs2TlAsI6,10,Cubic,-1.059115153,478.7250597,4.531964695,1.0046
mp-1112500,Cs2TlAuBr6,10,Cubic,-1.29530769,364.9540628,5.216954686,0
mp-1113536,Cs2TlAuCl6,10,Cubic,-1.493798939,314.9673676,4.638807782,0
mp-1112499,Cs2TlAuF6,10,Cubic,-2.092772584,206.7887209,6.272740919,0
mp-1113379,Cs2TlAuI6,10,Cubic,-0.990864224,447.2933278,5.303511947,0
mp-1112498,Cs2TlBiBr6,10,Cubic,-1.549795573,442.676599,4.346058158,1.7359
mp-1112109,Cs2TlBiCl6,10,Cubic,-1.80184784,388.4177023,3.812963475,2.2018
